GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang.strings,CodePoints.CodePointRange,0,53,0,6,0,9,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang.strings,CodePoints,0,251,0,26,0,55,0,23,0,10
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.concurrent,CallableGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.nio.charset,CharsetGenerator,0,11,0,0,0,3,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,VectorGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,SetGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalDoubleGenerator,0,64,0,4,0,19,0,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalLongGenerator,0,64,0,4,0,19,0,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.AbstractUUIDGenerator,0,49,0,0,0,10,0,4,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalIntGenerator,0,64,0,4,0,19,0,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LinkedListGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LinkedHashMapGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,ListGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.MessageDigests,0,15,0,0,0,5,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.NameBasedUUIDGenerator,0,62,0,2,0,14,0,4,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,HashMapGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,TimeZoneGenerator,0,10,0,0,0,3,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,PropertiesGenerator,0,69,0,4,0,13,0,5,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,HashSetGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,MapGenerator,0,285,2,12,0,57,2,21,0,16
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122,0,6,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LinkedHashSetGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.Namespaces,5,126,0,0,0,8,1,3,1,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,IdentityHashMapGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LocaleGenerator,0,9,0,0,0,3,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,BitSetGenerator,0,73,0,4,0,20,0,7,0,5
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,StackGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.Version4,0,18,0,0,0,5,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.Version3,0,9,0,0,0,4,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.Version5,0,9,0,0,0,4,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalGenerator,0,60,0,4,0,17,0,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,ArrayListGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,HashtableGenerator,0,12,0,4,0,3,0,4,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,CollectionGenerator,0,171,1,9,0,36,1,15,0,11
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,DateGenerator,0,97,0,6,0,17,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,LocalDateTimeGenerator,0,84,0,6,0,17,0,7,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,PeriodGenerator,0,132,0,6,0,26,0,9,0,6
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,InstantGenerator,18,48,1,5,1,11,1,5,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ZonedDateTimeGenerator,0,100,0,6,0,19,0,7,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,LocalTimeGenerator,0,75,0,6,0,16,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ZoneIdGenerator,0,10,0,0,0,3,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,DurationGenerator,0,70,0,6,0,12,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,MonthDayGenerator,0,93,0,6,0,16,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,OffsetTimeGenerator,0,85,0,6,0,17,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,YearGenerator,0,77,0,6,0,13,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ClockGenerator,18,54,1,5,1,12,1,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,YearMonthGenerator,0,111,0,6,0,17,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,ZoneOffsetGenerator,5,76,1,7,0,16,1,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,LocalDateGenerator,0,75,0,6,0,16,0,6,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.time,OffsetDateTimeGenerator,0,80,0,6,0,17,0,7,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,AbstractStringGenerator,1,127,2,4,0,26,2,9,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,Encoded,0,34,0,0,0,9,0,5,0,5
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,ByteGenerator,0,95,0,6,0,13,0,11,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,LongGenerator,0,96,0,6,0,13,0,11,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,ShortGenerator,0,95,0,6,0,13,0,11,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,IntegerGenerator,0,94,0,6,0,13,0,11,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,StringGenerator,1,16,2,2,0,3,2,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,CharacterGenerator,5,94,1,7,0,13,2,8,1,5
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,DoubleGenerator,0,98,0,6,0,14,0,12,0,9
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,FloatGenerator,0,98,0,6,0,14,0,12,0,9
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,CodePointShrink,0,133,0,4,0,24,0,6,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang,BooleanGenerator,0,43,0,6,0,6,0,7,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,VoidGenerator,0,16,0,0,0,3,0,2,0,2
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,IntegralGenerator,0,69,0,4,0,23,0,7,0,5
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator,DecimalGenerator,0,104,0,4,0,27,0,8,0,6
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.math,BigDecimalGenerator,0,185,0,26,0,42,0,24,0,11
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.math,BigIntegerGenerator,0,115,0,18,0,24,0,17,0,8
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.internal,Comparables,0,88,0,32,0,21,0,20,0,4
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,UnaryOperatorGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,SupplierGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,BinaryOperatorGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,DoubleFunctionGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,PredicateGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,BiFunctionGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToDoubleBiFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToLongFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToIntFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,FunctionGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToIntBiFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,BiPredicateGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToLongBiFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,LongFunctionGenerator,0,16,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,ToDoubleFunctionGenerator,0,15,0,0,0,4,0,3,0,3
junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.function,IntFunctionGenerator,0,16,0,0,0,4,0,3,0,3
