GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,StringConversions,23,85,3,7,4,18,4,8,1,6
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,MethodInvokingStringConversion,4,17,0,0,2,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,ConstructorInvokingStringConversion,4,16,0,0,2,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.random,SourceOfRandomness,18,328,0,10,6,74,0,33,0,28
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,ExhaustiveParameterSampler,0,210,0,16,0,49,0,16,0,8
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,TupleParameterSampler,0,97,0,4,0,28,0,7,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory,0,25,0,2,0,5,0,5,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigIntegerHalvingIterator,0,49,0,4,0,13,0,6,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterSampler,4,0,0,0,1,0,1,0,1,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedArrayType,4,20,0,0,2,7,2,5,2,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,DefaultMethodHandleMaker,18,48,2,2,8,12,3,4,1,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.IntegerHalvingIterator,0,43,0,6,0,11,0,7,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedType,2,15,0,0,1,6,1,4,1,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Weighted,0,23,0,2,0,6,0,2,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,CartesianIterator.Buffer,0,64,0,8,0,10,0,8,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Reflection,9,520,1,63,2,128,1,65,0,34
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Ranges.Type,0,56,0,0,0,8,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Ranges,0,140,0,16,0,27,0,14,0,6
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Zilch,0,5,0,0,0,1,0,1,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigDecimalHalvingIterator,0,50,0,4,0,13,0,6,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,GeometricDistribution,0,75,0,8,0,13,0,9,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Items,0,122,1,15,0,26,1,11,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterTypeContext,81,626,7,35,16,161,8,46,1,32
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences,0,34,0,0,0,5,0,7,0,7
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Comparables,0,88,0,32,0,21,0,20,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Lists,12,163,2,10,1,46,2,11,1,6
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ShrinkControl,0,40,0,0,0,12,0,6,0,6
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ReflectionException,0,9,0,0,0,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,CartesianIterator,0,79,0,6,0,17,0,7,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,PropertyParameterContext,0,112,0,10,0,30,0,16,0,11
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,SeededValue,22,23,0,0,1,8,1,4,1,4
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Fields,9,120,0,8,1,25,1,9,1,5
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,GeneratorConfigurationException,4,5,0,0,2,2,1,1,1,1
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Ctor,6,112,0,6,1,21,1,9,1,6
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Lambdas.LambdaInvocationHandler,0,114,0,10,0,23,0,10,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,GenerationStatus.Key,0,84,0,12,0,17,0,11,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Lambdas,0,41,0,2,0,8,0,3,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Gen,0,207,0,8,0,43,0,25,0,21
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,ComponentizedGenerator,0,122,0,12,0,26,0,14,0,8
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,GenerationStatus,0,1,0,0,0,1,0,1,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.generator,Generator,7,264,1,15,2,61,2,36,1,29
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator.ConstraintOgnlContext,0,22,0,2,0,3,0,2,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator.EvaluationException,0,8,0,0,0,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.constraint,ConstraintEvaluator,0,53,0,6,0,12,0,6,0,3
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,SimpleGenerationStatus,0,11,0,0,0,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,CompositeGenerator,94,166,3,7,21,38,9,16,7,13
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,MarkerInterfaceGenerator,27,0,0,0,6,0,2,0,2,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,LambdaGenerator,0,17,0,0,0,5,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,GuaranteeValuesGenerator,0,26,0,2,0,7,0,3,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,EnumGenerator,0,42,0,2,0,11,0,5,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,PropertyParameterGenerationContext.DiscardRatioExceededException,0,29,0,0,0,6,0,1,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ArrayGenerator,15,269,6,20,4,64,6,23,1,15
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,SamplingDomainGenerator,0,15,0,0,0,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,AbstractGenerationStatus,0,44,0,0,0,10,0,5,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ServiceLoaderGeneratorSource,0,39,0,2,0,9,0,4,0,3
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ZilchGenerator,0,6,0,0,0,3,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,MarkerInterfaceGenerator.MarkerInvocationHandler,81,0,10,0,18,0,10,0,5,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,ExhaustiveDomainGenerator,0,19,0,0,0,5,0,3,0,3
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,GeneratorRepository,40,714,3,67,7,169,4,71,1,39
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,PropertyParameterGenerationContext,15,188,2,20,3,35,4,20,2,11
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.generator,NullableGenerator,113,0,6,0,27,0,17,0,14,0
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyFalsified,0,124,0,6,0,25,0,6,0,3
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,NoValuesSatisfiedPropertyAssumptions,0,11,0,0,0,2,0,1,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,JUnitQuickcheck,0,104,0,4,0,20,0,8,0,6
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,JUnitQuickcheckTestClass,7,141,1,11,2,33,1,15,0,10
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,Shrinker,1,132,0,12,1,33,0,11,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,ShrinkNode,72,273,8,6,14,47,10,19,6,16
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyVerifier.new Statement() {...},7,41,0,0,3,13,0,3,0,3
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyVerifier.new Statement() {...},0,22,0,0,0,3,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyStatement,47,240,3,10,12,45,3,14,0,10
junit-quickcheck-core,com.pholser.junit.quickcheck.runner,PropertyVerifier,0,73,0,0,0,19,0,6,0,6
junit-quickcheck-core,com.pholser.junit.quickcheck.hook,NilMinimalCounterexampleHook,0,4,0,0,0,2,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck,Mode,0,24,0,0,0,3,0,1,0,1
junit-quickcheck-core,com.pholser.junit.quickcheck,Mode.new Mode() {...},5,6,0,0,1,1,1,1,1,1
junit-quickcheck-core,com.pholser.junit.quickcheck,Mode.new Mode() {...},5,6,0,0,1,1,1,1,1,1
junit-quickcheck-core,com.pholser.junit.quickcheck,Pair,0,67,0,8,0,13,0,8,0,4
