GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang.strings,CodePoints.CodePointRange,0,53,0,6,0,10,0,6,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.lang.strings,CodePoints,0,251,0,26,0,57,0,23,0,10
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util.concurrent,CallableGenerator,0,16,0,0,0,5,0,3,0,3
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.nio.charset,CharsetGenerator,0,11,0,0,0,4,0,2,0,2
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,VectorGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,SetGenerator,0,11,0,0,0,5,0,2,0,2
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalDoubleGenerator,0,81,0,6,0,22,0,8,0,5
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalLongGenerator,0,78,0,6,0,22,0,8,0,5
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,RFC4122.AbstractUUIDGenerator,0,49,0,0,0,10,0,4,0,4
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,OptionalIntGenerator,0,79,0,6,0,22,0,8,0,5
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LinkedListGenerator,0,4,0,0,0,2,0,1,0,1
junit-quickcheck-examples/junit-quickcheck-generators,com.pholser.junit.quickcheck.generator.java.util,LinkedHashMapGenerator,0,4,0,0,0,2,0,1,0,1
