GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,StringConversions,23,85,3,7,4,19,4,8,1,6
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,MethodInvokingStringConversion,4,17,0,0,2,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,ConstructorInvokingStringConversion,4,16,0,0,2,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.random,SourceOfRandomness,18,328,0,10,6,80,0,33,0,28
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,ExhaustiveParameterSampler,0,210,0,16,0,49,0,16,0,8
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,TupleParameterSampler,0,97,0,4,0,28,0,7,0,5
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory,0,25,0,2,0,5,0,5,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigIntegerHalvingIterator,0,49,0,4,0,13,0,6,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterSampler,4,0,0,0,1,0,1,0,1,0
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedArrayType,4,20,0,0,2,7,2,5,2,5
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,DefaultMethodHandleMaker,18,48,1,3,8,12,2,5,1,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.IntegerHalvingIterator,0,43,0,6,0,11,0,7,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedType,2,15,0,0,1,6,1,4,1,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Weighted,0,23,0,2,0,6,0,2,0,1
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,CartesianIterator.Buffer,0,64,0,8,0,10,0,8,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Reflection,9,513,1,61,2,128,1,63,0,33
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Ranges.Type,0,56,0,0,0,8,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Ranges,0,140,0,16,0,27,0,14,0,6
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Zilch,0,5,0,0,0,1,0,1,0,1
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigDecimalHalvingIterator,0,50,0,4,0,13,0,6,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,GeometricDistribution,0,75,0,8,0,13,0,9,0,5
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Items,0,122,1,15,0,26,1,11,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterTypeContext,74,649,5,39,14,169,6,49,1,32
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences,0,34,0,0,0,5,0,7,0,7
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Comparables,0,88,0,32,0,21,0,20,0,4
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Lists,0,175,0,12,0,47,0,13,0,7
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ShrinkControl,0,40,0,0,0,13,0,6,0,6
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ReflectionException,0,9,0,0,0,4,0,2,0,2
junit-quickcheck-generators/junit-quickcheck-core,com.pholser.junit.quickcheck.internal,CartesianIterator,0,79,0,6,0,18,0,7,0,4
